title,description,label
Broken footpath,Streetlight not working near my home.,genuine
No water,Music playing loudly after midnight.,genuine
Public toilet unhygienic,Water supply cut off since morning.,genuine
Unicorn ate my electricity,There's a wormhole in my backyard.,fake
Road damaged,Music playing loudly after midnight.,genuine
Streetlight not working,Water supply cut off since morning.,genuine
Drainage problem,Streetlight not working near my home.,genuine
Illegal parking,Drainage water overflowing on road.,genuine
Unicorn ate my electricity,Time traveler changed my garbage schedule.,fake
Loud music complaint,Water leaking from municipal pipe.,genuine
Park maintenance,Park is not cleaned regularly.,genuine
Drainage problem,Water leaking from municipal pipe.,genuine
Park maintenance,Footpath tiles are broken and dangerous.,genuine
Unicorn ate my electricity,An invisible thief stole all the lights.,fake
Aliens stole garbage,Cows are responsible for slow WiFi.,fake
Wormhole in backyard,My trash vanished into another dimension.,fake
Broken footpath,Frequent power cuts in the area.,genuine
Unicorn ate my electricity,Dustbin makes ghost noises at night.,fake
Road damaged,Water supply cut off since morning.,genuine
Unicorn ate my electricity,Dustbin makes ghost noises at night.,fake
Electricity issue,Music playing loudly after midnight.,genuine
Garbage not collected,Footpath tiles are broken and dangerous.,genuine
Monkey broke internet,An invisible thief stole all the lights.,fake
Streetlight not working,Water supply cut off since morning.,genuine
Monkey broke internet,Monkeys destroyed my fiber cables.,fake
Teleporting trash,Time traveler changed my garbage schedule.,fake
Park maintenance,Music playing loudly after midnight.,genuine
Illegal parking,Park is not cleaned regularly.,genuine
Pizza delivery demand,Monkeys destroyed my fiber cables.,fake
Loud music complaint,Frequent power cuts in the area.,genuine
Garbage not collected,Park is not cleaned regularly.,genuine
Electricity issue,Drainage water overflowing on road.,genuine
Pizza delivery demand,Monkeys destroyed my fiber cables.,fake
No water,Streetlight not working near my home.,genuine
Illegal parking,Water supply cut off since morning.,genuine
Teleporting trash,There's a wormhole in my backyard.,fake
Broken footpath,Water supply cut off since morning.,genuine
Drainage problem,Streetlight not working near my home.,genuine
Wormhole in backyard,Please deliver pizza to the mayor’s home.,fake
Unicorn ate my electricity,There's a wormhole in my backyard.,fake
Unicorn ate my electricity,Please deliver pizza to the mayor’s home.,fake
Park maintenance,Park is not cleaned regularly.,genuine
Invisible thief stole light,Time traveler changed my garbage schedule.,fake
Park maintenance,Potholes causing traffic jams.,genuine
Streetlight not working,Footpath tiles are broken and dangerous.,genuine
Pizza delivery demand,Cows are responsible for slow WiFi.,fake
